Command line:
-------------
/home/aboyce/anaconda3/envs/env3.12/bin/obspyDMT --datapath e2008 --data_source IRIS --event_catalog GCMT_COMBO --net II --cha LH? --loc e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --sta e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --preset 60 --offset 7200 --min_mag 5.5 --max_mag 7.5 --min_date=2008-01-01T00:00:00 --max_date=2008-12-31T00:00:00 --waveform_format sac --response True --pre_process=False --req_parallel --req_np 4 --parallel_process --process_np 4 

#N   LAT       LON       DEP  DATETIME             MAG   AUTH  EV_ID              FLY  
--------------------------------------------------------------------------------
239    39.030   140.850  12   2008-06-13T23:43:53  6.87  None  20080613_234353.a  NAN
240   -50.030  -114.500  15   2008-06-12T05:30:48  5.9   None  20080612_053048.a  NAN
241   -33.220   179.950  12   2008-06-11T02:30:07  5.54  None  20080611_023007.a  NAN
242   -18.230   167.710  20   2008-06-10T05:49:42  5.58  None  20080610_054942.a  NAN
243   -18.190   167.790  21   2008-06-10T04:13:39  5.9   None  20080610_041339.a  NAN
244    37.930    21.630  25   2008-06-08T12:25:36  6.37  None  20080608_122536.a  NAN
245    -7.630   127.870  138  2008-06-06T13:42:52  5.96  None  20080606_134252.a  NAN
246   -39.020   -91.720  12   2008-06-05T05:22:28  5.84  None  20080605_052228.a  NAN
247   -39.010   -91.850  12   2008-06-05T02:16:50  5.99  None  20080605_021650.a  NAN
248    41.590   139.150  204  2008-06-04T17:03:08  5.69  None  20080604_170308.a  NAN
249    -8.070   120.250  19   2008-06-03T22:04:33  6.0   None  20080603_220433.a  NAN
250    -8.090   120.300  18   2008-06-03T21:03:53  5.76  None  20080603_210353.a  NAN
251    -8.090   120.320  21   2008-06-03T17:31:38  5.88  None  20080603_173138.a  NAN
252   -10.460   161.420  91   2008-06-03T16:20:53  6.22  None  20080603_162053.a  NAN
253   -15.160  -173.340  58   2008-06-02T04:19:57  5.61  None  20080602_041957.a  NAN
254   -59.820   149.970  12   2008-06-01T14:31:10  6.49  None  20080601_143110.a  NAN
255    20.170   121.190  31   2008-06-01T01:57:27  6.33  None  20080601_015727.a  NAN
256   -54.910     1.590  24   2008-06-01T00:31:18  5.52  None  20080601_003118.a  NAN
257   -28.900  -112.400  12   2008-05-31T23:16:09  5.78  None  20080531_231609.a  NAN
258   -41.350    80.410  12   2008-05-31T04:38:01  6.4   None  20080531_043801.a  NAN
259   -54.920     1.510  17   2008-05-30T10:44:16  5.67  None  20080530_104416.a  NAN
260    30.600   141.820  19   2008-05-30T07:25:42  5.77  None  20080530_072542.a  NAN
261    63.920   -21.170  12   2008-05-29T15:46:06  6.29  None  20080529_154606.a  NAN
262    13.450   -91.390  29   2008-05-27T11:27:59  5.66  None  20080527_112759.a  NAN
263   -56.680   147.370  12   2008-05-27T05:51:15  5.84  None  20080527_055115.a  NAN
264     8.380   -82.880  12   2008-05-26T15:01:38  5.56  None  20080526_150138.a  NAN
265    55.590  -153.270  15   2008-05-25T19:18:28  5.88  None  20080525_191828.a  NAN
266    32.570   105.450  27   2008-05-25T08:21:52  6.07  None  20080525_082152.a  NAN
267     4.320   -73.790  15   2008-05-24T19:20:48  5.87  None  20080524_192048.a  NAN
268    -7.390   156.020  41   2008-05-24T13:24:10  5.89  None  20080524_132410.a  NAN
269    -7.180   129.640  133  2008-05-23T22:50:39  5.75  None  20080523_225039.a  NAN
270     7.510   -35.010  13   2008-05-23T19:35:40  6.47  None  20080523_193540.a  NAN
271    -3.480   101.170  51   2008-05-20T17:08:04  5.57  None  20080520_170804.a  NAN
272   -44.570   -78.900  12   2008-05-20T15:16:07  5.57  None  20080520_151607.a  NAN
273    51.110   178.530  18   2008-05-20T13:53:40  6.27  None  20080520_135340.a  NAN
274     1.640    99.140  16   2008-05-19T14:26:48  6.01  None  20080519_142648.a  NAN
275    42.510   131.960  530  2008-05-19T10:08:39  5.65  None  20080519_100839.a  NAN
276   -47.720    32.160  16   2008-05-19T03:16:17  5.93  None  20080519_031617.a  NAN
277    -3.520   101.110  50   2008-05-18T12:17:28  5.7   None  20080518_121728.a  NAN
278    32.210   105.080  16   2008-05-17T17:08:29  5.75  None  20080517_170829.a  NAN
279    31.250   103.330  24   2008-05-16T05:25:50  5.62  None  20080516_052550.a  NAN
280   -58.140   -25.190  37   2008-05-15T14:23:33  5.93  None  20080515_142333.a  NAN
281   -56.700  -142.290  19   2008-05-14T21:47:43  5.72  None  20080514_214743.a  NAN
